date,total,accept,badge,comment,post,review,revision,suggest
1218499200,0,0,0,0,0,0,0,0
1219104000,0,0,0,0,0,0,0,0
1219708800,0,0,0,0,0,0,0,0
1220313600,0,0,0,0,0,0,0,0
1220918400,0,0,0,0,0,0,0,0
1221523200,0,0,0,0,0,0,0,0
1222128000,0,0,0,0,0,0,0,0
1222732800,0,0,0,0,0,0,0,0
1223337600,0,0,0,0,0,0,0,0
1223942400,0,0,0,0,0,0,0,0
1224547200,0,0,0,0,0,0,0,0
1225152000,0,0,0,0,0,0,0,0
1225756800,0,0,0,0,0,0,0,0
1226361600,0,0,0,0,0,0,0,0
1226966400,0,0,0,0,0,0,0,0
1227571200,0,0,0,0,0,0,0,0
1228176000,0,0,0,0,0,0,0,0
1228780800,0,0,0,0,0,0,0,0
1229385600,0,0,0,0,0,0,0,0
1229990400,0,0,0,0,0,0,0,0
1230595200,0,0,0,0,0,0,0,0
1231200000,0,0,0,0,0,0,0,0
1231804800,0,0,0,0,0,0,0,0
1232409600,0,0,0,0,0,0,0,0
1233014400,0,0,0,0,0,0,0,0
1233619200,0,0,0,0,0,0,0,0
1234224000,0,0,0,0,0,0,0,0
1234828800,0,0,0,0,0,0,0,0
1235433600,0,0,0,0,0,0,0,0
1236038400,0,0,0,0,0,0,0,0
1236643200,0,0,0,0,0,0,0,0
1237248000,0,0,0,0,0,0,0,0
1237852800,0,0,0,0,0,0,0,0
1238457600,0,0,0,0,0,0,0,0
1239062400,0,0,0,0,0,0,0,0
1239667200,0,0,0,0,0,0,0,0
1240272000,0,0,0,0,0,0,0,0
1240876800,0,0,0,0,0,0,0,0
1241481600,0,0,0,0,0,0,0,0
1242086400,0,0,0,0,0,0,0,0
1242691200,0,0,0,0,0,0,0,0
1243296000,0,0,0,0,0,0,0,0
1243900800,0,0,0,0,0,0,0,0
1244505600,0,0,0,0,0,0,0,0
1245110400,0,0,0,0,0,0,0,0
1245715200,0,0,0,0,0,0,0,0
1246320000,0,0,0,0,0,0,0,0
1246924800,0,0,0,0,0,0,0,0
1247529600,0,0,0,0,0,0,0,0
1248134400,0,0,0,0,0,0,0,0
1248739200,0,0,0,0,0,0,0,0
1249344000,0,0,0,0,0,0,0,0
1249948800,0,0,0,0,0,0,0,0
1250553600,0,0,0,0,0,0,0,0
1251158400,0,0,0,0,0,0,0,0
1251763200,0,0,0,0,0,0,0,0
1252368000,0,0,0,0,0,0,0,0
1252972800,0,0,0,0,0,0,0,0
1253577600,0,0,0,0,0,0,0,0
1254182400,0,0,0,0,0,0,0,0
1254787200,0,0,0,0,0,0,0,0
1255392000,0,0,0,0,0,0,0,0
1255996800,0,0,0,0,0,0,0,0
1256601600,0,0,0,0,0,0,0,0
1257206400,0,0,0,0,0,0,0,0
1257811200,0,0,0,0,0,0,0,0
1258416000,0,0,0,0,0,0,0,0
1259020800,0,0,0,0,0,0,0,0
1259625600,0,0,0,0,0,0,0,0
1260230400,0,0,0,0,0,0,0,0
1260835200,0,0,0,0,0,0,0,0
1261440000,0,0,0,0,0,0,0,0
1262044800,0,0,0,0,0,0,0,0
1262649600,0,0,0,0,0,0,0,0
1263254400,0,0,0,0,0,0,0,0
1263859200,0,0,0,0,0,0,0,0
1264464000,0,0,0,0,0,0,0,0
1265068800,0,0,0,0,0,0,0,0
1265673600,0,0,0,0,0,0,0,0
1266278400,0,0,0,0,0,0,0,0
1266883200,0,0,0,0,0,0,0,0
1267488000,0,0,0,0,0,0,0,0
1268092800,0,0,0,0,0,0,0,0
1268697600,0,0,0,0,0,0,0,0
1269302400,0,0,0,0,0,0,0,0
1269907200,0,0,0,0,0,0,0,0
1270512000,0,0,0,0,0,0,0,0
1271116800,0,0,0,0,0,0,0,0
1271721600,0,0,0,0,0,0,0,0
1272326400,0,0,0,0,0,0,0,0
1272931200,0,0,0,0,0,0,0,0
1273536000,0,0,0,0,0,0,0,0
1274140800,0,0,0,0,0,0,0,0
1274745600,0,0,0,0,0,0,0,0
1275350400,0,0,0,0,0,0,0,0
1275955200,0,0,0,0,0,0,0,0
1276560000,0,0,0,0,0,0,0,0
1277164800,0,0,0,0,0,0,0,0
1277769600,0,0,0,0,0,0,0,0
1278374400,0,0,0,0,0,0,0,0
1278979200,0,0,0,0,0,0,0,0
1279584000,0,0,0,0,0,0,0,0
1280188800,0,0,0,0,0,0,0,0
1280793600,0,0,0,0,0,0,0,0
1281398400,0,0,0,0,0,0,0,0
1282003200,0,0,0,0,0,0,0,0
1282608000,0,0,0,0,0,0,0,0
1283212800,0,0,0,0,0,0,0,0
1283817600,0,0,0,0,0,0,0,0
1284422400,0,0,0,0,0,0,0,0
1285027200,0,0,0,0,0,0,0,0
1285632000,0,0,0,0,0,0,0,0
1286236800,0,0,0,0,0,0,0,0
1286841600,0,0,0,0,0,0,0,0
1287446400,0,0,0,0,0,0,0,0
1288051200,0,0,0,0,0,0,0,0
1288656000,0,0,0,0,0,0,0,0
1289260800,0,0,0,0,0,0,0,0
1289865600,0,0,0,0,0,0,0,0
1290470400,0,0,0,0,0,0,0,0
1291075200,0,0,0,0,0,0,0,0
1291680000,0,0,0,0,0,0,0,0
1292284800,0,0,0,0,0,0,0,0
1292889600,0,0,0,0,0,0,0,0
1293494400,0,0,0,0,0,0,0,0
1294099200,0,0,0,0,0,0,0,0
1294704000,0,0,0,0,0,0,0,0
1295308800,0,0,0,0,0,0,0,0
1295913600,0,0,0,0,0,0,0,0
1296518400,0,0,0,0,0,0,0,0
1297123200,0,0,0,0,0,0,0,0
1297728000,0,0,0,0,0,0,0,0
1298332800,0,0,0,0,0,0,0,0
1298937600,0,0,0,0,0,0,0,0
1299542400,0,0,0,0,0,0,0,0
1300147200,0,0,0,0,0,0,0,0
1300752000,0,0,0,0,0,0,0,0
1301356800,0,0,0,0,0,0,0,0
1301961600,0,0,0,0,0,0,0,0
1302566400,0,0,0,0,0,0,0,0
1303171200,0,0,0,0,0,0,0,0
1303776000,0,0,0,0,0,0,0,0
1304380800,0,0,0,0,0,0,0,0
1304985600,0,0,0,0,0,0,0,0
1305590400,0,0,0,0,0,0,0,0
1306195200,0,0,0,0,0,0,0,0
1306800000,0,0,0,0,0,0,0,0
1307404800,0,0,0,0,0,0,0,0
1308009600,0,0,0,0,0,0,0,0
1308614400,0,0,0,0,0,0,0,0
1309219200,0,0,0,0,0,0,0,0
1309824000,0,0,0,0,0,0,0,0
1310428800,0,0,0,0,0,0,0,0
1311033600,0,0,0,0,0,0,0,0
1311638400,0,0,0,0,0,0,0,0
1312243200,0,0,0,0,0,0,0,0
1312848000,0,0,0,0,0,0,0,0
1313452800,0,0,0,0,0,0,0,0
1314057600,0,0,0,0,0,0,0,0
1314662400,0,0,0,0,0,0,0,0
1315267200,0,0,0,0,0,0,0,0
1315872000,0,0,0,0,0,0,0,0
1316476800,0,0,0,0,0,0,0,0
1317081600,0,0,0,0,0,0,0,0
1317686400,0,0,0,0,0,0,0,0
1318291200,0,0,0,0,0,0,0,0
1318896000,0,0,0,0,0,0,0,0
1319500800,0,0,0,0,0,0,0,0
1320105600,0,0,0,0,0,0,0,0
1320710400,0,0,0,0,0,0,0,0
1321315200,0,0,0,0,0,0,0,0
1321920000,0,0,0,0,0,0,0,0
1322524800,0,0,0,0,0,0,0,0
1323129600,0,0,0,0,0,0,0,0
1323734400,0,0,0,0,0,0,0,0
1324339200,0,0,0,0,0,0,0,0
1324944000,0,0,0,0,0,0,0,0
1325548800,0,0,0,0,0,0,0,0
1326153600,0,0,0,0,0,0,0,0
1326758400,0,0,0,0,0,0,0,0
1327363200,0,0,0,0,0,0,0,0
1327968000,0,0,0,0,0,0,0,0
1328572800,0,0,0,0,0,0,0,0
1329177600,0,0,0,0,0,0,0,0
1329782400,0,0,0,0,0,0,0,0
1330387200,0,0,0,0,0,0,0,0
1330992000,0,0,0,0,0,0,0,0
1331596800,0,0,0,0,0,0,0,0
1332201600,0,0,0,0,0,0,0,0
1332806400,0,0,0,0,0,0,0,0
1333411200,0,0,0,0,0,0,0,0
1334016000,0,0,0,0,0,0,0,0
1334620800,0,0,0,0,0,0,0,0
1335225600,0,0,0,0,0,0,0,0
1335830400,0,0,0,0,0,0,0,0
1336435200,0,0,0,0,0,0,0,0
1337040000,0,0,0,0,0,0,0,0
1337644800,0,0,0,0,0,0,0,0
1338249600,0,0,0,0,0,0,0,0
1338854400,0,0,0,0,0,0,0,0
1339459200,0,0,0,0,0,0,0,0
1340064000,0,0,0,0,0,0,0,0
1340668800,0,0,0,0,0,0,0,0
1341273600,0,0,0,0,0,0,0,0
1341878400,0,0,0,0,0,0,0,0
1342483200,0,0,0,0,0,0,0,0
1343088000,0,0,0,0,0,0,0,0
1343692800,0,0,0,0,0,0,0,0
1344297600,0,0,0,0,0,0,0,0
1344902400,0,0,0,0,0,0,0,0
1345507200,0,0,0,0,0,0,0,0
1346112000,0,0,0,0,0,0,0,0
1346716800,0,0,0,0,0,0,0,0
1347321600,0,0,0,0,0,0,0,0
1347926400,0,0,0,0,0,0,0,0
1348531200,0,0,0,0,0,0,0,0
1349136000,0,0,0,0,0,0,0,0
1349740800,0,0,0,0,0,0,0,0
1350345600,0,0,0,0,0,0,0,0
1350950400,0,0,0,0,0,0,0,0
1351555200,0,0,0,0,0,0,0,0
1352160000,0,0,0,0,0,0,0,0
1352764800,0,0,0,0,0,0,0,0
1353369600,0,0,0,0,0,0,0,0
1353974400,0,0,0,0,0,0,0,0
1354579200,0,0,0,0,0,0,0,0
1355184000,0,0,0,0,0,0,0,0
1355788800,0,0,0,0,0,0,0,0
1356393600,0,0,0,0,0,0,0,0
1356998400,0,0,0,0,0,0,0,0
1357603200,0,0,0,0,0,0,0,0
1358208000,0,0,0,0,0,0,0,0
1358812800,0,0,0,0,0,0,0,0
1359417600,0,0,0,0,0,0,0,0
1360022400,0,0,0,0,0,0,0,0
1360627200,0,0,0,0,0,0,0,0
1361232000,0,0,0,0,0,0,0,0
1361836800,0,0,0,0,0,0,0,0
1362441600,0,0,0,0,0,0,0,0
1363046400,0,0,0,0,0,0,0,0
1363651200,0,0,0,0,0,0,0,0
1364256000,0,0,0,0,0,0,0,0
1364860800,0,0,0,0,0,0,0,0
1365465600,0,0,0,0,0,0,0,0
1366070400,0,0,0,0,0,0,0,0
1366675200,0,0,0,0,0,0,0,0
1367280000,0,0,0,0,0,0,0,0
1367884800,0,0,0,0,0,0,0,0
1368489600,0,0,0,0,0,0,0,0
1369094400,0,0,0,0,0,0,0,0
1369699200,0,0,0,0,0,0,0,0
1370304000,0,0,0,0,0,0,0,0
1370908800,0,0,0,0,0,0,0,0
1371513600,0,0,0,0,0,0,0,0
1372118400,0,0,0,0,0,0,0,0
1372723200,0,0,0,0,0,0,0,0
1373328000,0,0,0,0,0,0,0,0
1373932800,13,2,4,5,1,0,1,0
1374537600,0,0,0,0,0,0,0,0
1375142400,0,0,0,0,0,0,0,0
1375747200,0,0,0,0,0,0,0,0
1376352000,0,0,0,0,0,0,0,0
1376956800,0,0,0,0,0,0,0,0
1377561600,0,0,0,0,0,0,0,0
1378166400,0,0,0,0,0,0,0,0
1378771200,10,2,1,4,0,2,1,0
1379376000,7,0,2,2,1,0,2,0
1379980800,60,2,2,31,7,0,18,0
1380585600,34,1,0,23,1,0,9,0
1381190400,71,3,3,47,5,0,10,3
1381795200,12,0,1,9,1,0,1,0
1382400000,36,0,0,20,5,0,8,3
1383004800,46,2,1,28,4,0,6,5
1383609600,14,0,0,9,1,0,2,2
1384214400,37,0,0,20,3,0,7,7
1384819200,98,3,5,32,6,34,12,6
1385424000,87,0,1,42,9,15,13,7
1386028800,136,1,3,54,8,38,18,14
1386633600,172,1,4,58,11,69,16,13
1387238400,226,3,9,65,8,99,23,19
1387843200,99,0,3,47,10,27,8,4
1388448000,43,1,1,14,8,14,4,1
1389052800,148,0,3,91,25,9,14,6
1389657600,248,0,4,53,26,86,79,0
1390262400,190,0,2,28,6,107,47,0
1390867200,95,1,3,17,8,39,27,0
1391472000,114,0,1,28,4,29,52,0
1392076800,211,0,4,65,34,58,50,0
1392681600,192,0,7,38,5,113,27,2
1393286400,244,0,4,26,1,165,47,1
1393891200,232,0,0,27,2,180,23,0
1394496000,177,0,1,9,0,155,12,0
1395100800,216,0,1,10,0,159,46,0
1395705600,243,1,1,27,4,184,26,0
1396310400,153,0,1,15,3,118,16,0
1396915200,60,0,2,21,2,23,11,1
1397520000,90,0,0,18,0,57,15,0
1398124800,101,3,13,30,3,13,39,0
1398729600,53,0,1,11,0,35,6,0
1399334400,16,0,3,3,0,8,2,0
1399939200,44,0,2,7,0,23,12,0
1400544000,62,0,4,18,2,28,10,0
1401148800,64,0,0,13,4,38,9,0
1401753600,103,0,9,18,6,52,18,0
1402358400,87,0,1,24,2,49,11,0
1402963200,21,0,1,5,0,12,3,0
1403568000,66,0,1,16,2,33,14,0
1404172800,48,0,1,18,3,17,9,0
1404777600,76,0,3,14,4,39,16,0
1405382400,64,0,1,17,5,34,7,0
1405987200,32,0,3,6,0,19,4,0
1406592000,72,0,2,10,1,15,44,0
1407196800,47,0,4,5,1,8,29,0
1407801600,39,0,0,12,2,14,11,0
1408406400,52,1,2,12,0,17,20,0
1409011200,40,0,2,9,2,14,13,0
1409616000,60,0,3,10,1,25,21,0
1410220800,30,0,0,7,0,16,7,0
1410825600,29,0,1,6,0,9,13,0
1411430400,47,0,2,10,1,22,12,0
1412035200,35,0,5,8,2,12,8,0
1412640000,24,0,4,2,0,6,12,0
1413244800,24,0,1,10,1,5,7,0
1413849600,31,0,2,6,3,3,17,0
1414454400,19,0,1,12,0,3,3,0
1415059200,15,0,0,8,0,3,4,0
1415664000,57,0,2,10,0,15,30,0
1416268800,17,0,0,9,0,6,2,0
1416873600,25,0,3,10,2,1,9,0
1417478400,11,0,1,3,1,2,4,0
1418083200,41,0,1,6,1,26,7,0
1418688000,36,1,3,4,1,9,18,0
1419292800,33,0,3,16,1,3,10,0
1419897600,17,0,1,3,0,6,7,0
1420502400,15,0,2,5,0,4,4,0
1421107200,20,0,2,12,0,0,6,0
1421712000,18,0,1,3,0,6,8,0
1422316800,21,0,0,3,0,13,5,0
1422921600,38,0,1,11,0,19,7,0
1423526400,71,0,1,12,0,47,11,0
1424131200,39,0,0,7,2,23,7,0
1424736000,58,0,0,8,0,41,9,0
1425340800,36,0,2,2,0,25,7,0
1425945600,59,0,3,5,0,33,18,0
1426550400,36,0,0,7,0,19,10,0
1427155200,26,0,0,3,0,16,7,0
1427760000,23,0,1,5,0,8,9,0
1428364800,84,0,4,17,2,42,19,0
1428969600,23,0,0,12,0,8,3,0
