date,total,accept,badge,comment,post,review,revision,suggest
1218542400,0,0,0,0,0,0,0,0
1219147200,0,0,0,0,0,0,0,0
1219752000,0,0,0,0,0,0,0,0
1220356800,0,0,0,0,0,0,0,0
1220961600,0,0,0,0,0,0,0,0
1221566400,0,0,0,0,0,0,0,0
1222171200,0,0,0,0,0,0,0,0
1222776000,0,0,0,0,0,0,0,0
1223380800,0,0,0,0,0,0,0,0
1223985600,0,0,0,0,0,0,0,0
1224590400,0,0,0,0,0,0,0,0
1225195200,0,0,0,0,0,0,0,0
1225800000,0,0,0,0,0,0,0,0
1226404800,0,0,0,0,0,0,0,0
1227009600,0,0,0,0,0,0,0,0
1227614400,0,0,0,0,0,0,0,0
1228219200,0,0,0,0,0,0,0,0
1228824000,0,0,0,0,0,0,0,0
1229428800,0,0,0,0,0,0,0,0
1230033600,0,0,0,0,0,0,0,0
1230638400,0,0,0,0,0,0,0,0
1231243200,47,0,5,7,33,0,2,0
1231848000,121,0,6,21,80,0,14,0
1232452800,31,0,1,5,25,0,0,0
1233057600,73,0,5,7,44,0,17,0
1233662400,49,0,2,9,28,0,10,0
1234267200,69,0,2,20,36,0,11,0
1234872000,96,0,2,22,43,0,29,0
1235476800,111,0,1,30,56,0,24,0
1236081600,44,0,3,6,24,0,11,0
1236686400,34,0,0,8,22,0,4,0
1237291200,17,0,0,3,9,0,5,0
1237896000,31,0,2,10,12,0,7,0
1238500800,87,0,0,22,48,0,17,0
1239105600,97,0,3,49,30,0,15,0
1239710400,62,0,1,18,31,0,12,0
1240315200,5,0,1,1,3,0,0,0
1240920000,3,0,0,1,2,0,0,0
1241524800,0,0,0,0,0,0,0,0
1242129600,0,0,0,0,0,0,0,0
1242734400,0,0,0,0,0,0,0,0
1243339200,0,0,0,0,0,0,0,0
1243944000,0,0,0,0,0,0,0,0
1244548800,0,0,0,0,0,0,0,0
1245153600,0,0,0,0,0,0,0,0
1245758400,0,0,0,0,0,0,0,0
1246363200,14,0,0,4,8,0,2,0
1246968000,0,0,0,0,0,0,0,0
1247572800,48,0,0,8,31,0,9,0
1248177600,1,0,0,0,1,0,0,0
1248782400,0,0,0,0,0,0,0,0
1249387200,2,0,0,0,2,0,0,0
1249992000,0,0,0,0,0,0,0,0
1250596800,0,0,0,0,0,0,0,0
1251201600,16,0,1,4,7,0,4,0
